Title,Conference,Synthetic_Labels
A reconfigurable IC for wireless monitoring of chemical or electrical neural activity.,ISCAS,ISCAS
Design of orthogonal coded excitation for synthetic aperture imaging in ultrasound systems.,ISCAS,ISCAS
Conecptual Modeling Using and Extended E-R Model (Abstract).,VLDB,VLDB
Adaptive Aggregation on Chip Multiprocessors.,VLDB,ISCAS
Computationally-efficient iterative decoding for storage system design: Min-Sum refined.,ISCAS,ISCAS
To Cache or Not To Cache?,INFOCOM,WWW
On the Effectiveness of Probabilistic Packet Marking for IP Traceback under Denial of Service Attack.,INFOCOM,INFOCOM
Analysis of the convergence behavior of the complex Gaussian kernel LMS algorithm.,ISCAS,ISCAS
Reducing Packet Losses in Networks of Commodity IEEE 802.15.4 Sensor Motes Using Cooperative Communication and Diversity Combination.,INFOCOM,INFOCOM
A noise-tolerant matchline scheme with XOR-based conditional keeper for energy-efficient TCAM.,ISCAS,ISCAS
Output perturbation with query relaxation.,VLDB,VLDB
Perturbation analysis of subspace-based semi-blind MIMO channel estimation approaches.,ISCAS,ISCAS
High-order multi-bit incremental converter with Smart-DEM algorithm.,ISCAS,ISCAS
Using proportional transportation similarity with learned element semantics for XML document clustering.,WWW,VLDB
A sub-100nA power management system for wireless structure health monitoring applications.,ISCAS,INFOCOM
A novel MUX-FF circuit for low power and high speed serial link interfaces.,ISCAS,ISCAS
A Decomposition Method for Transmission Scheduling in Multi-Channel Wireless Sensor Networks.,INFOCOM,INFOCOM
Collaborative ICT for Indian business clusters.,WWW,WWW
DNA-like Learning Algorithm of CNN Template Implementing Boolean Functions.,ISCAS,ISCAS
Mobile tagging and mixed realities.,SIGGRAPH,SIGGRAPH
A Presentation Architecture for Individualized Content.,WWW,WWW
Topology Control in Heterogeneous Wireless Networks: Problems and Solutions.,INFOCOM,INFOCOM
Sparse kernel cepstral coefficients (SKCC): Inner-product based features for noise-robust speech recognition.,ISCAS,VLDB
"Satellite Navigation: New Signals, New Challenges.",ISCAS,INFOCOM
An Adaptive Block Size Phase Correlation Motion Estimation Using Adaptive Early Search Termination Technique.,ISCAS,SIGGRAPH
3D reconstruction from planar points: A candidate method for authentication of fingerprint images captured by mobile devices.,ISCAS,SIGGRAPH
A real-time motion-feature-extraction image processor employing digital-pixel-sensor-based parallel architecture.,ISCAS,SIGGRAPH
Protection of Information in Relational Data Bases.,VLDB,VLDB
Optimal Bandwidth Reservation Schedule in Cellular Network.,INFOCOM,INFOCOM
The Origin of Power-Laws in Internet Topologies Revisited.,INFOCOM,WWW
FRM-Based FIR Filters with Minimum Coefficient Sensitivities.,ISCAS,ISCAS
Internet search engines: past and future.,WWW,WWW
Oscillations with TCP-Like Flow Control in Networks of Queues.,INFOCOM,INFOCOM
"Design, Analysis and Implementation of Integrated Micro-Thermal Control Systems.",ISCAS,ISCAS
A Comparative Study of 6T and 4T SRAM Cells in Double-Gate CMOS with Statistical Variation.,ISCAS,ISCAS
Facilitating Multimedia Database Exploration through Visual Interfaces and Perpetual Query Reformulations.,VLDB,VLDB
A parallel processor architecture for graphics arithmetic operations.,SIGGRAPH,SIGGRAPH
A Unified Approach to Optimizing Performance in Networks Serving Heterogeneous Flows.,INFOCOM,INFOCOM
Best-effort Networks: Modeling and Performance Analysis via Large Networks Asymptotics.,INFOCOM,INFOCOM
Harmonic Control Network for 2.6 GHz CMOS Class-F Power Amplifier.,ISCAS,ISCAS
Interactive light field display from a cluster of projectors.,SIGGRAPH,SIGGRAPH
ERA: Efficient Serial and Parallel Suffix Tree Construction for Very Long Strings.,VLDB,VLDB
DoNet: a semantic domotic framework.,WWW,WWW
Algorithmic Applications for a new Result on Multivalued Dependencies.,VLDB,VLDB
Stackelberg games for energy-efficient power control in wireless networks.,INFOCOM,INFOCOM
Modeling and simulation of complex heterogeneous systems.,ISCAS,ISCAS
Parsimonious Linear Fingerprinting for Time Series.,VLDB,VLDB
Understanding user goals in web search.,WWW,WWW
Queries and Updates in the coDB Peer to Peer Database System.,VLDB,VLDB
Improving the power-delay product in SCL circuits using source follower output stage.,ISCAS,ISCAS
CS4: A Tool for Database Design by Infological Simulation (Abstract).,VLDB,VLDB
A novel low-power physical design methodology for MTCMOS.,ISCAS,ISCAS
SWIM: A Simple Model to Generate Small Mobile Worlds.,INFOCOM,INFOCOM
TicTacToon: a paperless system for professional 2D animation.,SIGGRAPH,SIGGRAPH
ISP and Egress Path Selection for Multihomed Networks.,INFOCOM,INFOCOM
Designing a Practical Access Point Association Protocol.,INFOCOM,INFOCOM
A class of reliable UDP-based transport protocols based on stochastic approximation.,INFOCOM,INFOCOM
A Middleware for Fast and Flexible Sensor Network Deployment.,VLDB,INFOCOM
Aggregate Maintenance for Data Warehousing in Informix Red Brick Vista.,VLDB,VLDB
BVH for efficient raytracing of dynamic metaballs on GPU.,SIGGRAPH,SIGGRAPH
Who is SMILing on the Web?,WWW,SIGGRAPH
How status and reputation shape human evaluations: consequences for recommender systems.,WWW,WWW
Current mode DC-DC buck converters with optimal fast-transient control.,ISCAS,ISCAS
Objectivity Industrial Exhibit.,VLDB,SIGGRAPH
On Network Correlated Data Gathering.,INFOCOM,INFOCOM
High performance data acquisition system for IRFPA testing.,ISCAS,ISCAS
A CMOS contact imager for locating individual cells.,ISCAS,ISCAS
Efficient similarity joins for near duplicate detection.,WWW,VLDB
Dynamic sawtooth compensation (DSC) technique with self-tuning mode selection (SMS) for current-mode Buck-Boost converter.,ISCAS,ISCAS
Clustering Overhead for Hierarchical Routing in Mobile Ad hoc Networks.,INFOCOM,INFOCOM
sDTW: Computing DTW Distances using Locally Relevant Constraints based on Salient Feature Alignments.,VLDB,SIGGRAPH
Performance Issues in Incremental Warehouse Maintenance.,VLDB,VLDB
The Meandering Current Mobility Model and its Impact on Underwater Mobile Sensor Networks.,INFOCOM,INFOCOM
Arithmetic module generator with algorithm optimization capability.,ISCAS,ISCAS
DipZoom: The Internet Measurements Marketplace.,INFOCOM,INFOCOM
A FVF based output capacitorless LDO regulator with wide load capacitance range.,ISCAS,ISCAS
Truncated MCM using pattern modification for FIR filter implementation.,ISCAS,ISCAS
Rome Reborn.,SIGGRAPH,SIGGRAPH
GridDataBus: Information-centric platform for scalable secure resilient phasor-data sharing.,INFOCOM,VLDB
GoThere: travel suggestions using geotagged photos.,WWW,SIGGRAPH
Congestion Control via Online Sampling.,INFOCOM,INFOCOM
Consensus in networked multi-agent systems via model predictive control with horizon one.,ISCAS,ISCAS
Web based device independent mobile map applications.: the m-CHARTIS system.,WWW,WWW
Maximum Throughput and Fair Bandwidth Allocation in Multi-Channel Wireless Mesh Networks.,INFOCOM,ISCAS
Approaches to the implementation of noise-coupling in continuous-time Delta-Sigma modulators.,ISCAS,ISCAS
Optimal control for base station sleep mode in energy efficient radio access networks.,INFOCOM,ISCAS
Measuring harmonics by an improved FFT-based algorithm with considering frequency variations.,ISCAS,ISCAS
Wireless network coding: Deciding when to flip the switch.,INFOCOM,INFOCOM
A custom GZIP decoder for DTV application.,ISCAS,ISCAS
Task-binding based branch-and-bound algorithm for NoC mapping.,ISCAS,ISCAS
Design and integration of a remotely programmable dental monitoring device.,ISCAS,ISCAS
Cooperative Packet Caching and Shortest Multipath Routing in Mobile Ad hoc Networks.,INFOCOM,INFOCOM
Balancing Supply and Demand of Bandwidth in Wireless Cellular Networks: Utility Maximization over Powers and Rates.,INFOCOM,INFOCOM
Efficient Management of Multiversion Documents by Object Referencing.,VLDB,VLDB
Effect of Large Buffers on TCP Queueing Behavior.,INFOCOM,INFOCOM
Computer-mediated performance and extended instrument design.,SIGGRAPH,SIGGRAPH
Digital halftoning with space filling curves.,SIGGRAPH,SIGGRAPH
Towards a legged chip.,ISCAS,SIGGRAPH
Exact regenerating codes for Byzantine fault tolerance in distributed storage.,INFOCOM,VLDB
Lobe asymmetry-based automatic classification of brain magnetic resonance images.,ISCAS,SIGGRAPH
Beat story: life-log system of subjective time using heart beat rate.,SIGGRAPH,VLDB
Reading a Set of Disk Pages.,VLDB,VLDB
Developing practical models for teaching motion capture.,SIGGRAPH,SIGGRAPH
Fundamental and Secondary Issues in the Design of Non-Procedural Relational Languages.,VLDB,VLDB
L2P2: Location-aware location privacy protection for location-based services.,INFOCOM,INFOCOM
Compensation of IQ imbalance and transmitter nonlinearities in broadband MIMO-OFDM.,ISCAS,ISCAS
Improving the coverage of ultra wideband impulse radio by pulse compression.,ISCAS,VLDB
Letter from the the Associate Editors.,VLDB,INFOCOM
Compressed data structures for annotated web search.,WWW,VLDB
Peceptual distortion metric based on wavelet frequency sensitivity and multiple visual fixations.,ISCAS,SIGGRAPH
Improved characterization of high speed continuous-time &#916;&#931; modulators using a duobinary test interface.,ISCAS,ISCAS
A Compact On-Chip Capacitive-Coupling Scheme for Very-Low Frequency Applications.,ISCAS,ISCAS
The efficient VLSI design of BI-CUBIC convolution interpolation for digital image processing.,ISCAS,ISCAS
A dynamic game solution to malware attack.,INFOCOM,ISCAS
Modeling the growth of future web.,WWW,WWW
Particle swarm localization of acoustic sources in the presence of reverberation.,ISCAS,ISCAS
A Fast 3D-BSG Algorithm for 3D Packing Problem.,ISCAS,SIGGRAPH
MyXDNS: a resquest routing dns server with decoupled server selection.,WWW,INFOCOM
Towards a development process for geospatial information retrieval and search.,WWW,VLDB
SHRiNK: A method for scaleable performance prediction and efficient network simulation.,INFOCOM,INFOCOM
I/O-Conscious Data Preparation for Large-Scale Web Search Engines.,VLDB,WWW
OrientStore: A Schema Based Native XML Storage System.,VLDB,VLDB
Indexing Multi-Dimensional Uncertain Data with Arbitrary Probability Density Functions.,VLDB,VLDB
Noise coupling due to through silicon vias (TSVs) in 3-D integrated circuits.,ISCAS,ISCAS
A reconfigurable FIR filter design using dynamic partial reconfiguration.,ISCAS,ISCAS
A VLSI Architecture for a Fast Computation of the 2-D Discrete Wavelet Transform.,ISCAS,ISCAS
A search engine for natural language applications.,WWW,WWW
The Development and Application of Data Base Design Tools and Methodology.,VLDB,VLDB
XAR-miner: efficient association rules mining for XML data.,WWW,VLDB
Master Stability Function for networks of Chua's circuits with static and dynamic couplings.,ISCAS,ISCAS
A Human Vision System based Flash Picture Coding Method for Video Coding.,ISCAS,SIGGRAPH
Physical layer security from inter-session interference in large wireless networks.,INFOCOM,INFOCOM
Using statistical topic models to organize and visualize large-scale architectural image databases.,SIGGRAPH,SIGGRAPH
DET FF topologies: A detailed investigation in the energy-delay-area domain.,ISCAS,ISCAS
Turning liabilities into assets: Exploiting deep submicron CMOS technology to design secure embedded circuits.,ISCAS,INFOCOM
CosmicAI: generating sky backgrounds through content-based search and flexible composition.,SIGGRAPH,SIGGRAPH
Direct DDFS FM modulator with baseband interpolator.,ISCAS,ISCAS
Block precoder-based energy constrained DFE.,ISCAS,ISCAS
Surveillance face hallucination via variable selection and manifold learning.,ISCAS,SIGGRAPH
Provisioning Quality Controlled Medium Access in UltraWideBand-Operated WPANs.,INFOCOM,INFOCOM
Accurate transient response model for automatic synthesis of high-speed operational amplifiers.,ISCAS,ISCAS
A 3mW 8-Bit radiation-hardened-by-design DAC for ultra-wide temperature range from -180&#176;C to 120&#176;C.,ISCAS,ISCAS
Collaborative error control method for sequential logic circuits.,ISCAS,ISCAS
A License Management Model to Support B2C and C2C Music Sharing.,WWW,WWW
Towards a GBit/s Programmable Decoder for LDPC Convolutional Codes.,ISCAS,ISCAS
The Yin and Yang of Processing Data Warehousing Queries on GPU Devices.,VLDB,VLDB
Decorating implicit surfaces.,SIGGRAPH,SIGGRAPH
Gamesense.,WWW,SIGGRAPH
CLB-based Detection and Correction of Bit-flip faults in SRAM-based FPGAs.,ISCAS,ISCAS
Minimum-Energy Broadcast Using Practical Directional Antennas in All-Wireless Networks.,INFOCOM,INFOCOM
The External Schema and CODASYL.,VLDB,VLDB
An ultra-fast parallel architecture using sequential circuits computing on random bits.,ISCAS,ISCAS
CMOS variable-gain wide-bandwidth CMFB-free differential current feedback amplifier for ultrasound diagnostic applications.,ISCAS,ISCAS
VLSI implementation of a WiMAX/LTE compliant low-complexity high-throughput soft-output K-Best MIMO detector.,ISCAS,ISCAS
Hybrid stereo camera: an IBR approach for synthesis of very high resolution stereoscopic image sequences.,SIGGRAPH,SIGGRAPH
SNR-based frame-level video bit rate allocation.,ISCAS,INFOCOM
3.5-D integration: A case study.,ISCAS,ISCAS
Noise model of indirect-feedback sigma-delta image sensors.,ISCAS,ISCAS
Packetostatics: deployment of massively dense sensor networks as an electrostatics problem.,INFOCOM,INFOCOM
Dual-Buffering Strategies in Object Bases.,VLDB,VLDB
A biomimetic CMOS synapse.,ISCAS,ISCAS
A Low Power 4-bit Interleaved Burst Sampling ADC for Sub-GHz Impulse UWB Radio.,ISCAS,ISCAS
A novel approach to statistical simulation of ICS affected by non-linear variabilities.,ISCAS,ISCAS
A Method for Change Computation in Deductive Databases.,VLDB,VLDB
Maximum Coverage at Minimum Cost for Multi-Domain IP/MPLS Networks.,INFOCOM,INFOCOM
Design of a low power mixed-signal RAKE receiver.,ISCAS,ISCAS
An Architecture for Managing Application Services over Global Networks.,INFOCOM,VLDB
Self-Configuring Information Management for Large-Scale Service Overlays.,INFOCOM,VLDB
Electronically tunable current-mode universal biquadratic filter using a single CCCFTA.,ISCAS,ISCAS
Vulnerability and protection for distributed consensus-based spectrum sensing in cognitive radio networks.,INFOCOM,INFOCOM
Modified SDF Architecture for Mixed DIF/DIT FFT.,ISCAS,ISCAS
Community-driven data grids.,VLDB,VLDB
Capacity-Constrained Design of Resilient Multi-Tier Wireless Mesh Networks.,INFOCOM,INFOCOM
Computer-Aided Average-Value Modeling of Fourth-Order PWM DC-DC Converters.,ISCAS,ISCAS
A framework for evaluating network measures for functional importance.,WWW,INFOCOM
Realization of MIMO linear discrete-time systems with minimum L<sub>2</sub>-sensitivity and no overflow oscillations.,ISCAS,ISCAS
Adaptive coded aperture projection.,SIGGRAPH,SIGGRAPH
Power-aware NoC router using central forecasting-based dynamic virtual channel allocation.,ISCAS,ISCAS
DSP implementation of a low-complexity algorithm for real-time automated vessel detection in images of the fundus of the human retina.,ISCAS,ISCAS
GeoScope: Online Detection of Geo-Correlated Information Trends in Social Networks.,VLDB,WWW
Low-latency multi-flow broadcasts in fading wireless networks.,INFOCOM,INFOCOM
Rapid prototyping of web applications combining domain specific languages and model driven design.,WWW,WWW
A Bit-Stuffing Algorithm for Crosstalk Avoidance in High Speed Switching.,INFOCOM,ISCAS
The TreeScape System: Reuse of Pre-Computed Aggregates over Irregular OLAP Hierarchies.,VLDB,VLDB
The science of images: a cross-disciplinary introduction to the field of 3-D computer graphics.,SIGGRAPH,SIGGRAPH
On the optimal mobile association in heterogeneous wireless relay networks.,INFOCOM,INFOCOM
Complex Event Detection at Wire Speed with FPGAs.,VLDB,SIGGRAPH
Bonding-wire triangular spiral inductor for on-chip switching power converters.,ISCAS,ISCAS
Consideration set generation in commerce search.,WWW,WWW
A more precise model for web retrieval.,WWW,WWW
A habit mining approach for discovering similar mobile users.,WWW,WWW
Inferring Link Loss Using Striped Unicast Probes.,INFOCOM,INFOCOM
An experimental study of large-scale mobile social network.,WWW,WWW
FDB: A Query Engine for Factorised Relational Databases.,VLDB,VLDB
Scalable Hierarchical Access Control in Secure Group Communications.,INFOCOM,INFOCOM
SEED: a framework for extracting social events from press news.,WWW,WWW
A new low-voltage CMOS unity-gain buffer.,ISCAS,ISCAS
Origins London-Belize Website.,SIGGRAPH,- 
Intelligent cage for remotely powered freely moving animal telemetry systems.,ISCAS,ISCAS
An economic side-effect for prefix deaggregation.,INFOCOM,INFOCOM
A Fast and reliable switching median filter for highly corrupted images by impulse noise.,ISCAS,SIGGRAPH
Basins of attraction for periodic solutions of discretized sliding mode control systems.,ISCAS,-
High-Performance Dynamic Pattern Matching over Disordered Streams.,VLDB,VLDB
A Signal Processing View on Packet Sampling and Anomaly Detection.,INFOCOM,INFOCOM
Oz: the great and volumetric.,SIGGRAPH,SIGGRAPH
Real-time compositing framework for interactive stereo fMRI displays.,SIGGRAPH,SIGGRAPH
Compact power-efficient CMOS exponential voltage-to-voltage converter.,ISCAS,ISCAS
Balanced Packet Discard for Improving TCP Performance in ATM Networks.,INFOCOM,INFOCOM
SRAM in hold-operation: Modeling the interaction of soft-errors and switching power-supply noise.,ISCAS,ISCAS
"Gossip algorithms: design, analysis and applications.",INFOCOM,VLDB
A Pragmatic Approach to Structured Database Design.,VLDB,VLDB
Locking range analysis for injection-locked frequency dividers.,ISCAS,ISCAS
Optimizing throughput for limited receiver circuit power.,ISCAS,INFOCOM
Analysis and Performance Evaluation of a Digital Carrier Synchronizer for Modem Applications.,ISCAS,ISCAS
A mixed queueing network model of mobility in a campus wireless network.,INFOCOM,INFOCOM
Visual thinkers in an age of computer visualization: problems and possibilities.,SIGGRAPH,SIGGRAPH
Policy Based QoS Architecture in MUSE.,INFOCOM,WWW
Instant radiosity.,SIGGRAPH,SIGGRAPH
A high performance CAVLC encoder design for MPEG-4 AVC/H.264 video coding applications.,ISCAS,ISCAS
Consort: Node-Constrained Opportunistic Routing in wireless mesh networks.,INFOCOM,INFOCOM
A novel neural network-based linearization and auto-compensation technique for sensors.,ISCAS,ISCAS
Piko: A Framework for Authoring Programmable Graphics Pipelines,SIGGRAPH,SIGGRAPH
Quasi-Resonant Interconnects: A Low Power Design Methodology.,ISCAS,ISCAS
Computational advertising: leveraging user interaction &amp; contextual factors for improved ad retrieval &amp; ranking.,WWW,WWW
Managing and querying transaction-time databases under schema evolution.,VLDB,VLDB
Compact lumped element model for TSV in 3D-ICs.,ISCAS,ISCAS
Offset cancellation for zero crossing based circuits.,ISCAS,ISCAS
Retrieving Top-k Prestige-Based Relevant Spatial Web Objects.,VLDB,WWW
Sampling Biases in IP Topology Measurements.,INFOCOM,INFOCOM
Indexing for Function Approximation.,VLDB,VLDB
On End-to-End Throughput of Opportunistic Routing in Multirate and Multihop Wireless Networks.,INFOCOM,INFOCOM
0.5V wavelet filters using current mirrors.,ISCAS,ISCAS
BodyQoS: Adaptive and Radio-Agnostic QoS for Body Sensor Networks.,INFOCOM,INFOCOM
A machine-to-machine architecture to merge semantic sensor measurements.,WWW,VLDB
A Theoretical Analysis of Split Delta-Sigma ADCs.,ISCAS,ISCAS
Double Bubbles Sans Toil and Trouble: Discrete Circulation-Preserving Vortex Sheets for Soap Films and Foams,SIGGRAPH,SIGGRAPH
Finding all modes of nonlinear oscillations by the Krawczyk-Moore-Jones algorithm.,ISCAS,ISCAS
Concept for an adaptive digital front-end for multi-mode wireless receivers.,ISCAS,ISCAS
An adaptive speed function of level set method for moving object extraction.,ISCAS,SIGGRAPH
Using photographic quality images in desktop applications (panel session).,SIGGRAPH,SIGGRAPH
Data Model Equivalence.,VLDB,VLDB
Approximate NN queries on Streams with Guaranteed Error/performance Bounds.,VLDB,VLDB
A distributed broadcast protocol in multi-hop cognitive radio ad hoc networks without a common control channel.,INFOCOM,INFOCOM
A Capacitor-Free CMOS Low-Dropout Regulator.,ISCAS,ISCAS
Hardware-efficient filterbank design for fast recursive MDST and IMDST algorithms.,ISCAS,ISCAS
Rango: a case of lighting and compositing a CG animated feature in an FX-oriented facility.,SIGGRAPH,SIGGRAPH
Iolaus: securing online content rating systems.,WWW,WWW
Accuracy estimate and optimization techniques for SimRank computation.,VLDB,VLDB
A technique to design high entropy chaos-based true random bit generators.,ISCAS,ISCAS
Novel MOSFET-only bandgap voltage reference.,ISCAS,ISCAS
Providing Multiple Service Classes For Bursty Data Traffic in Cellular Networks.,INFOCOM,INFOCOM
Scheduling and binding for low gate leakage nanoCMOS datapath circuit synthesis.,ISCAS,ISCAS
Making Large Scale Deployment of RCP Practical for Real Networks.,INFOCOM,WWW
Double Mobility: Coverage of the Sea Surface with Mobile Sensor Networks.,INFOCOM,INFOCOM
"Modeling, Analysis and Improvement for BitTorrent-Like File Sharing Networks.",INFOCOM,INFOCOM
SplashDisplay: volumetric projection using projectile beads.,SIGGRAPH,SIGGRAPH
"Classification of access network types: Ethernet wireless LAN, ADSL, cable modem or dialup?",INFOCOM,ISCAS
A free but efficient class AB two-stage operational amplifier.,ISCAS,ISCAS
Fast HEVC intra mode decision using matching edge detector and kernel density estimation alike histogram generation.,ISCAS,ISCAS
Quill: a collaborative design assistant for cross platform web application user interfaces.,WWW,WWW
A Faceted Query Engine Applied to Archaeology.,VLDB,VLDB
Analyzing Quantitative Databases: Image is Everything.,VLDB,VLDB
REHIST: Relative Error Histogram Construction Algorithms.,VLDB,VLDB
Packet distribution Algorithms for Sensor Networks.,INFOCOM,INFOCOM
Analysis of n-Dimensional Quadtrees using the Hausdorff Fractal Dimension,VLDB,ISCAS
Emancipated Pixels: Real-World Graphics in the Luminous Room.,SIGGRAPH,SIGGRAPH
Analog front-end RX design for UWB impulse radio in 90nm CMOS.,ISCAS,ISCAS
A best-first tree-searching approach for ML decoding in MIMO system.,ISCAS,ISCAS
Tekken 6 bloodline rebellion intro.,SIGGRAPH,Not applicable
Bandwidth Allocation for Virtual Paths (BAVP): Investigation of Performance of Classical Constrained and Genetic Algorithm Based Optimisation Techniques.,INFOCOM,INFOCOM
A floating gate graphene FET complementary inverter with symmetrical transfer characteristics.,ISCAS,ISCAS
Leveraging user comments for aesthetic aware image search reranking.,WWW,SIGGRAPH
Preface for the TempWeb '13 Workshop.,WWW,WWW
Allocating inverted index into flash memory for search engines.,WWW,VLDB
PASSAGES: Preserving Anonymity of Sources and Sinks against Global Eavesdroppers.,INFOCOM,INFOCOM
Optimization of Systems of Algebraic Equations for Evaluating Datalog Queries.,VLDB,VLDB
Monolithic Spiral Transformers: A Design Methodology.,ISCAS,ISCAS
Minimum Cost Data Aggregation with Localized Processing for Statistical Inference.,INFOCOM,VLDB
On the use of joint diagonalization in blind signal processing.,ISCAS,ISCAS
Overview of Turn Data Management Platform for Digital Advertising.,VLDB,WWW
Topic segmentation of message hierarchies for indexing and navigation support.,WWW,INFOCOM
Improving the Statistical Properties of Number Sequences Produced by Pseudorandom Generators derived from the R&eacute;nyi Chaotic Map.,ISCAS,ISCAS
A New ACK Policy To Mitigate the Effects of Coexisting IEEE 802.11/802.11e Devices.,INFOCOM,INFOCOM
Perspective-computer graphics in Europe and Japan (panel session).,SIGGRAPH,SIGGRAPH
Design and realization of stereoscopic 3D for Disney classics.,SIGGRAPH,SIGGRAPH
Fast and accurate estimation of gain and sample-time mismatches in time-interleaved ADCs using on-chip oscillators.,ISCAS,ISCAS
Cross-scene abnormal event detection.,ISCAS,VLDB
Growing documentary: creating a collaborative computer-supported story telling environment.,SIGGRAPH,SIGGRAPH
Space Efficiency in Synopsis Construction Algorithms.,VLDB,VLDB
Mining Top-K Large Structural Patterns in a Massive Network.,VLDB,VLDB
Adaptive mode and modulation coding switching scheme in MIMO multicasting system.,ISCAS,INFOCOM
Stimulating Cooperation in Multi-hop Wireless Networks Using Cheating Detection System.,INFOCOM,INFOCOM
Projected light microscopy.,SIGGRAPH,SIGGRAPH
Updates for Structure Indexes.,VLDB,VLDB
Selectivity Estimation for Fuzzy String Predicates in Large Data Sets.,VLDB,VLDB
Perspective dragging: quick area selection in photos.,SIGGRAPH,SIGGRAPH
Lighting technology of the last of us.,SIGGRAPH,SIGGRAPH
AMS and RF design for reliability methodology.,ISCAS,ISCAS
Optimal Top-K Query Evaluation for Weighted Business Processes.,VLDB,VLDB
Large Scale Analysis of the eDonkey P2P File Sharing System.,INFOCOM,WWW
Linear current mode image sensor with focal plane spatial image processing.,ISCAS,ISCAS
ClouDiA: A Deployment Advisor for Public Clouds.,VLDB,WWW
A mode-mapping and optimized MV conjunction based MGS-scalable SVC to AVC IPPP transcoder.,ISCAS,ISCAS
Multi-chains encoding scheme in low-cost ATE.,ISCAS,ISCAS
Performance of Random Access Scheduling Schemes in Multi-Hop Wireless Networks.,INFOCOM,INFOCOM
A 27-GHz low-power push-push LC VCO with wide tuning range in 65nm CMOS.,ISCAS,ISCAS
Q-CSMA: Queue-Length Based CSMA/CA Algorithms for Achieving Maximum Throughput and Low Delay in Wireless Networks.,INFOCOM,INFOCOM
I want my virtual friends to be life size!: adapting Second Life to multi-screen projected environments.,SIGGRAPH,SIGGRAPH
A tool for design exploration and power optimization of CMOS RF circuits blocks.,ISCAS,ISCAS
Discovering geographical topics in the twitter stream.,WWW,WWW
Variable increment step based reconfigurable interleaver for multimode communication application.,ISCAS,ISCAS
A New Quadrature LC-Oscillator.,ISCAS,ISCAS
The Decomposition Versus Synthetic Approach to Relational Database Design.,VLDB,VLDB
High Performance Dictionary-Based String Matching for Deep Packet Inspection.,INFOCOM,INFOCOM
Impact of MOS threshold-voltage mismatch in current-steering DACs for CT &#931;&#916; modulators.,ISCAS,ISCAS
SmartSeer: Using a DHT to Process Continuous Queries Over Peer-to-Peer Networks.,INFOCOM,INFOCOM
Query clustering using click-through graph.,WWW,VLDB
The Case for Determinism in Database Systems.,VLDB,VLDB
A cyclic vernier time-to-digital converter synthesized from a 65nm CMOS standard library.,ISCAS,ISCAS
"A colloidal display: membrane screen that combines transparency, BRDF and 3D volume.",SIGGRAPH,SIGGRAPH
Disparity map acquisition with occlusion handling using warping constraint.,ISCAS,SIGGRAPH
3D reconstruction of intricate objects using planar cast shadows.,SIGGRAPH,SIGGRAPH
Robust analytical design of equiripple comb FIR filters.,ISCAS,ISCAS
ASCENT: Adaptive Self-Configuring sEnsor Networks Topologies..,INFOCOM,INFOCOM
The flying : Kinect art using OpenNI and learning system.,SIGGRAPH,SIGGRAPH
A clock network of distributed ADPLLs using an asymmetric comparison strategy.,ISCAS,ISCAS
WorldBrush: Interactive Example-based Synthesis of Procedural Virtual Worlds,SIGGRAPH,SIGGRAPH
A model for efficient and flexible image computing.,SIGGRAPH,SIGGRAPH
Analysis of communication models in web service compositions.,WWW,VLDB
Animation and rendering of complex water surfaces.,SIGGRAPH,SIGGRAPH
Image-based visual hulls.,SIGGRAPH,SIGGRAPH
Lock-free consistency control for web 2.0 applications.,WWW,WWW
Tradeoffs in Processing Complex Join Queries via Hashing in Multiprocessor Database Machines.,VLDB,VLDB
Touch-less interaction smartphone on go!,SIGGRAPH,SIGGRAPH
Enhancing industry participation in ISCAS and Circuits and Systems Society.,ISCAS,ISCAS
A motion sensor interactive interface for viewing and manipulating protein structural data in 3D.,SIGGRAPH,SIGGRAPH
Indexing Mixed Types for Approximate Retrieval.,VLDB,VLDB
Experiments with persian text compression for web.,WWW,WWW
Overclocking datapath for latency-error tradeoff.,ISCAS,ISCAS
Graphical representation of RDF queries.,WWW,VLDB
A novel approach for FFT data reordering.,ISCAS,ISCAS
Pixelating vector line art.,SIGGRAPH,SIGGRAPH
Detection of a preseizure state in epilepsy: signal prediction by maximally weakly nonlinear networks?,ISCAS,ISCAS
Variance Analysis for Monte Carlo Integration,SIGGRAPH,VLDB
Weighted Viterbi decoding for MIMO-OFDM systems with linear precoding.,ISCAS,INFOCOM
Drive and sense interface for gyroscopes based on bandpass sigma-delta modulators.,ISCAS,ISCAS
Partitioning RDF exploiting workload information.,WWW,VLDB
Sampling clock jitter estimation and compensation in ADC circuits.,ISCAS,ISCAS
EnLoc: Energy-Efficient Localization for Mobile Phones.,INFOCOM,INFOCOM
Improved hybrid coding scheme for intra 4&times;4 residual block produced by H.264/AVC.,ISCAS,SIGGRAPH
Gradient domain HDR compositing.,SIGGRAPH,SIGGRAPH
Soundness proof of Z semantics of OWL using institutions.,WWW,VLDB
Phoiling phishing.,WWW,WWW
Link scheduling in sensor networks: distributed edge coloring revisited.,INFOCOM,ISCAS
Impact of power control on the performance of ad hoc wireless networks.,INFOCOM,ISCAS
Programming algorithms for multilevel phase-change memory.,ISCAS,ISCAS
Interactive Schema Translation with Instance-Level Mappings.,VLDB,SIGGRAPH
Landmark Selection and Greedy Landmark-Descent Routing for Sensor Networks.,INFOCOM,ISCAS
